obj: 'INIT', pid: 01
    obj: 'O048', pid: 13, owner: 'sbio', type: '_ool', perm: rw-, vaddr: 0x00312000, size: 0x001000, phys: 0x887E67C000, tz0 offset: 0x5A8000

obj: 'AESS', pid: 03
    obj: 'C002', pid: 01, owner: 'INIT', type: 'TEXT', perm: r-x, vaddr: 0x01EFA000, size: 0x008000, phys: 0x887E1A3000, tz0 offset: 0x0CF000
    obj: 'C003', pid: 01, owner: 'INIT', type: 'DATA', perm: rw-, vaddr: 0x01F02000, size: 0x003000, phys: 0x887E1AB000, tz0 offset: 0x0D7000
    obj: 'C004', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x01F59000, size: 0x001000, phys: 0x887E3D5000, tz0 offset: 0x301000
    obj: 'C000', pid: 03, owner: 'AESS', type: 'PRNG', perm: rw-, vaddr: 0x01F5C000, size: 0x004000, phys: 0x020D300000, tz0 offset: --------
    obj: 'C001', pid: 03, owner: 'AESS', type: 'PRNG', perm: rw-, vaddr: 0x01F67000, size: 0x004000, phys: 0x020D600000, tz0 offset: --------
    obj: 'O002', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x01F6D000, size: 0x001000, phys: 0x887E3EA000, tz0 offset: 0x316000
    obj: 'O011', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x01F72000, size: 0x001000, phys: 0x887E64D000, tz0 offset: 0x579000
    obj: 'O014', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x01F77000, size: 0x001000, phys: 0x887E650000, tz0 offset: 0x57C000
    obj: 'O023', pid: 06, owner: 'skg ', type: '_ool', perm: rw-, vaddr: 0x010B6000, size: 0x001000, phys: 0x887E659000, tz0 offset: 0x585000

obj: 'dxio', pid: 04
    obj: 'D002', pid: 01, owner: 'INIT', type: 'TEXT', perm: r-x, vaddr: 0x00A45000, size: 0x007000, phys: 0x887E1AE000, tz0 offset: 0x0DA000
    obj: 'D003', pid: 01, owner: 'INIT', type: 'DATA', perm: rw-, vaddr: 0x00A4C000, size: 0x002000, phys: 0x887E1B5000, tz0 offset: 0x0E1000
    obj: 'D004', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x00AA2000, size: 0x001000, phys: 0x887E3D6000, tz0 offset: 0x302000
    obj: 'D000', pid: 04, owner: 'dxio', type: 'PRNG', perm: rw-, vaddr: 0x00AA7000, size: 0x004000, phys: 0x020DF00000, tz0 offset: --------
    obj: 'D001', pid: 04, owner: 'dxio', type: 'PRNG', perm: rw-, vaddr: 0x00AAE000, size: 0x004000, phys: 0x020D700000, tz0 offset: --------
    obj: 'O021', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x00AB4000, size: 0x001000, phys: 0x887E657000, tz0 offset: 0x583000
    obj: 'O024', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x00ABB000, size: 0x001000, phys: 0x887E65A000, tz0 offset: 0x586000
    obj: 'O029', pid: 07, owner: 'sars', type: '_ool', perm: rw-, vaddr: 0x04C84000, size: 0x001000, phys: 0x887E65D000, tz0 offset: 0x589000

obj: 'enti', pid: 05
    obj: 'E000', pid: 01, owner: 'INIT', type: 'TEXT', perm: r-x, vaddr: 0x0644A000, size: 0x017000, phys: 0x887E1B7000, tz0 offset: 0x0E3000
    obj: 'E001', pid: 01, owner: 'INIT', type: 'DATA', perm: rw-, vaddr: 0x06461000, size: 0x001000, phys: 0x887E1CE000, tz0 offset: 0x0FA000
    obj: 'E002', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x064F3000, size: 0x001000, phys: 0x887E3D7000, tz0 offset: 0x303000
    obj: 'O003', pid: 05, owner: 'enti', type: '_hep', perm: rw-, vaddr: 0x064F6000, size: 0x008000, phys: 0x887E3EB000, tz0 offset: 0x317000
    obj: 'MFST', pid: 01, owner: 'INIT', type: '_dat', perm: rw-, vaddr: 0x0002D000, size: 0x002000, phys: 0x887E3D1000, tz0 offset: 0x2FD000
    obj: 'O048', pid: 13, owner: 'sbio', type: '_ool', perm: rw-, vaddr: 0x00312000, size: 0x001000, phys: 0x887E67C000, tz0 offset: 0x5A8000
